mode,seed,k,math500_acc,math500_delta,ifeval_acc,ifeval_delta
greedy_pillar,0,1,0.722,-0.020000000000000018,0.7523105360443623,0.00554528650646946
greedy_pillar,0,2,0.742,0.0,0.7541589648798521,0.007393715341959317
greedy_pillar,0,5,0.724,-0.018000000000000016,0.7430683918669131,-0.003696857670979714
greedy_pillar,0,10,0.752,0.010000000000000009,0.7430683918669131,-0.003696857670979714
greedy_pillar,0,20,0.75,0.008000000000000007,0.7486136783733827,0.001848428835489857
greedy_pillar,0,30,0.746,0.0040000000000000036,0.7412199630314233,-0.00554528650646946
greedy_pillar,0,50,0.736,-0.006000000000000005,0.7375231053604436,-0.009242144177449174
greedy_pillar,0,75,0.74,-0.0020000000000000018,0.7338262476894639,-0.012939001848428888
greedy_pillar,0,100,0.736,-0.006000000000000005,0.7430683918669131,-0.003696857670979714
greedy_pillar,0,150,0.742,0.0,0.7467652495378928,0.0
greedy_pillar,0,200,0.738,-0.0040000000000000036,0.7356746765249538,-0.011090573012939031
greedy_stumbling,0,1,0.748,0.006000000000000005,0.744916820702403,-0.001848428835489857
greedy_stumbling,0,2,0.744,0.0020000000000000018,0.7541589648798521,0.007393715341959317
greedy_stumbling,0,5,0.762,0.020000000000000018,0.7467652495378928,0.0
greedy_stumbling,0,10,0.738,-0.0040000000000000036,0.7375231053604436,-0.009242144177449174
greedy_stumbling,0,20,0.734,-0.008000000000000007,0.7430683918669131,-0.003696857670979714
greedy_stumbling,0,30,0.73,-0.01200000000000001,0.7430683918669131,-0.003696857670979714
greedy_stumbling,0,50,0.734,-0.008000000000000007,0.744916820702403,-0.001848428835489857
greedy_stumbling,0,75,0.744,0.0020000000000000018,0.7319778188539742,-0.014787430683918634
greedy_stumbling,0,100,0.752,0.010000000000000009,0.7282809611829945,-0.01848428835489835
greedy_stumbling,0,150,0.744,0.0020000000000000018,0.7412199630314233,-0.00554528650646946
greedy_stumbling,0,200,0.746,0.0040000000000000036,0.7356746765249538,-0.011090573012939031
random,0,1,0.748,0.006000000000000005,0.7430683918669131,-0.003696857670979714
random,0,2,0.734,-0.008000000000000007,0.7430683918669131,-0.003696857670979714
random,0,5,0.742,0.0,0.7467652495378928,0.0
random,0,10,0.746,0.0040000000000000036,0.744916820702403,-0.001848428835489857
random,0,20,0.744,0.0020000000000000018,0.7467652495378928,0.0
random,0,30,0.746,0.0040000000000000036,0.7467652495378928,0.0
