group,n_tokens,description,math500_acc,math500_delta,ifeval_acc,ifeval_delta
top5_pillar,5,Top 5 raw Pillars (most negative M500 Δ),0.722,-0.020000000000000018,0.7523105360443623,0.00554528650646946
top10_pillar,10,Top 10 raw Pillars,0.746,0.0040000000000000036,0.7375231053604436,-0.009242144177449174
top20_pillar,20,Top 20 raw Pillars,0.746,0.0040000000000000036,0.7430683918669131,-0.003696857670979714
top5_stumbling,5,Top 5 raw Stumbling Blocks,0.734,-0.008000000000000007,0.7467652495378928,0.0
top10_stumbling,10,Top 10 raw Stumbling Blocks,0.732,-0.010000000000000009,0.7375231053604436,-0.009242144177449174
cross_task_pillars,8,Cross-task Pillars (Δ ≤ -0.5% on both),0.754,0.01200000000000001,0.7430683918669131,-0.003696857670979714
cross_task_stumbling,2,Cross-task Stumbling Blocks (Δ ≥ +0.5% on both),0.746,0.0040000000000000036,0.7486136783733827,0.001848428835489857
semantic_code_tech,5,Semantic: code/technical identifiers,0.74,-0.0020000000000000018,0.7504621072088724,0.003696857670979603
semantic_domain,7,Semantic: math/domain content nouns,0.732,-0.010000000000000009,0.7467652495378928,0.0
semantic_discourse,4,Semantic: discourse markers,0.754,0.01200000000000001,0.7430683918669131,-0.003696857670979714
semantic_abstract,4,Semantic: abstract nouns,0.74,-0.0020000000000000018,0.7412199630314233,-0.00554528650646946
semantic_modifiers,6,Semantic: modifiers/adjectives,0.74,-0.0020000000000000018,0.7504621072088724,0.003696857670979603
random_control_a,10,Random 10-token control (seed=42),0.74,-0.0020000000000000018,0.7375231053604436,-0.009242144177449174
random_control_b,10,Random 10-token control (seed=42 variant),0.742,0.0,0.7523105360443623,0.00554528650646946
