group,n_tokens,description,math500_acc,math500_delta,ifeval_acc,ifeval_delta
top5_pillar,5,Top 5 raw Pillars (most negative M500 Δ),0.75,0.0041999999999999815,,
top10_pillar,10,Top 10 raw Pillars,0.7492,0.0033999999999999586,,
top20_pillar,20,Top 20 raw Pillars,0.7492,0.0033999999999999586,,
top5_stumbling,5,Top 5 raw Stumbling Blocks,0.7494,0.0035999999999999366,,
top10_stumbling,10,Top 10 raw Stumbling Blocks,0.7496,0.0038000000000000256,,
cross_task_pillars,8,Cross-task Pillars (Δ ≤ -0.5% on both),0.7492,0.0033999999999999586,,
cross_task_stumbling,2,Cross-task Stumbling Blocks (Δ ≥ +0.5% on both),0.7454,-0.00040000000000006697,,
semantic_code_tech,5,Semantic: code/technical identifiers,0.7496,0.0038000000000000256,,
semantic_domain,7,Semantic: math/domain content nouns,0.7522,0.006399999999999961,,
semantic_discourse,4,Semantic: discourse markers,0.7456,-0.00019999999999997797,,
semantic_abstract,4,Semantic: abstract nouns,0.7492,0.0033999999999999586,,
semantic_modifiers,6,Semantic: modifiers/adjectives,0.748,0.0021999999999999797,,
random_control_a,10,Random 10-token control (seed=42),0.7474,0.0015999999999999348,,
random_control_b,10,Random 10-token control (seed=42 variant),0.7544,0.008599999999999941,,
